"id","organization_id","student_id","eventdate","care_type","entrytime","exittime","breaktime","worktime","status","comment","created_at","updated_at","deleted_at"
43,1,46,2022-04-09,,"16:00:13","16:43:16",,,"1",,2022-04-09 16:00:13.000,2022-04-09 16:43:16.000,
44,1,22,2022-04-09,,"17:05:28","18:21:25",,,"1",,2022-04-09 17:05:28.000,2022-04-09 18:21:25.000,
45,1,21,2022-04-09,,"17:05:32","18:21:17",,,"1",,2022-04-09 17:05:32.000,2022-04-09 18:21:17.000,
46,1,27,2022-04-09,,"17:05:41","18:21:34",,,"1",,2022-04-09 17:05:41.000,2022-04-09 18:21:34.000,
47,1,28,2022-04-09,,"17:05:44","18:21:29",,,"1",,2022-04-09 17:05:44.000,2022-04-09 18:21:29.000,
48,1,26,2022-04-09,,"17:35:18","18:21:22",,,"1",,2022-04-09 17:35:18.000,2022-04-09 18:21:22.000,
49,1,47,2022-04-11,,"10:14:42",,,,"1",,2022-04-11 10:14:42.000,2022-04-11 10:14:42.000,
50,1,44,2022-04-11,,"15:39:52",,,,"1",,2022-04-11 15:39:52.000,2022-04-13 16:43:55.000,2022-04-13 16:43:55.000
51,1,43,2022-04-11,,"15:39:56",,,,"1",,2022-04-11 15:39:56.000,2022-04-13 16:44:04.000,2022-04-13 16:44:04.000
52,1,45,2022-04-11,,"15:40:04",,,,"1",,2022-04-11 15:40:04.000,2022-04-13 16:44:12.000,2022-04-13 16:44:12.000
53,1,46,2022-04-11,,"15:40:12",,,,"1",,2022-04-11 15:40:12.000,2022-04-13 16:44:24.000,2022-04-13 16:44:24.000
54,1,4,2022-04-11,,"16:49:27","17:32:29",,,"1",,2022-04-11 16:49:27.000,2022-04-11 17:32:29.000,
55,1,15,2022-04-11,,"16:55:32","17:34:38",,,"1",,2022-04-11 16:55:32.000,2022-04-11 17:34:38.000,
56,1,2,2022-04-11,,"16:56:29","17:38:50",,,"1",,2022-04-11 16:56:29.000,2022-04-11 17:38:50.000,
57,1,7,2022-04-11,,"16:56:33","17:38:57",,,"1",,2022-04-11 16:56:33.000,2022-04-11 17:38:57.000,
58,1,24,2022-04-11,,"17:50:05","18:35:14",,,"1",,2022-04-11 17:50:05.000,2022-04-11 18:35:14.000,
59,1,11,2022-04-11,,"18:00:20","18:51:42",,,"1",,2022-04-11 18:00:20.000,2022-04-11 18:51:42.000,
60,1,12,2022-04-11,,"18:00:32","18:51:39",,,"1",,2022-04-11 18:00:32.000,2022-04-11 18:51:39.000,
61,1,1,2022-04-11,,"19:15:14","20:03:00",,,"1",,2022-04-11 19:18:13.000,2022-04-13 16:42:43.000,
62,1,47,2022-04-12,,"09:58:41",,,,"1",,2022-04-12 09:58:41.000,2022-04-12 09:58:41.000,
63,1,42,2022-04-12,,"16:57:48","17:41:00",,,"1",,2022-04-12 16:57:48.000,2022-04-12 17:41:00.000,
64,1,45,2022-04-12,,"17:02:56","17:41:12",,,"1",,2022-04-12 17:02:56.000,2022-04-12 17:41:12.000,
65,1,36,2022-04-12,,"17:53:07","18:42:58",,,"1",,2022-04-12 17:53:07.000,2022-04-12 18:42:58.000,
66,1,47,2022-04-13,,"09:52:31","18:53:11",,,"1",,2022-04-13 09:52:31.000,2022-04-13 18:53:11.000,
67,1,19,2022-04-13,,"16:03:29","17:10:01",,,"1",,2022-04-13 16:03:20.000,2022-04-13 17:10:01.000,
68,1,31,2022-04-13,,"17:55:44","18:41:47",,,"1",,2022-04-13 17:55:44.000,2022-04-13 18:41:47.000,
69,1,47,2022-04-14,,"13:57:56","19:18:24",,,"1",,2022-04-14 13:57:56.000,2022-04-14 19:18:24.000,
70,1,3,2022-04-14,,"15:53:42","16:39:38",,,"1",,2022-04-14 15:53:42.000,2022-04-14 16:39:38.000,
71,1,9,2022-04-14,,"17:00:03","17:45:20",,,"1",,2022-04-14 17:00:03.000,2022-04-14 17:45:20.000,
72,1,10,2022-04-14,,"17:59:58","18:47:33",,,"1",,2022-04-14 17:59:58.000,2022-04-14 18:47:33.000,
73,1,47,2022-04-15,,"09:42:05","19:01:19",,,"1",,2022-04-15 09:42:05.000,2022-04-15 19:01:19.000,
74,1,16,2022-04-15,,"17:02:07","17:42:42",,,"1",,2022-04-15 17:02:07.000,2022-04-15 17:42:42.000,
