"id","organization_id","stuff_id","eventdate","care_type","entrytime","exittime","breaktime","worktime","status","comment","created_at","updated_at","deleted_at"
43,1,2,2022-06-28,,"13:00:48",,,,"1",,2022-06-28 13:00:48.000,2022-06-28 13:00:48.000,
44,1,1,2022-06-29,,"08:45:45","17:20:29",,,"1",,2022-06-29 08:45:45.000,2022-06-29 17:20:29.000,
45,1,3,2022-06-29,,"10:02:03",,,,"1",,2022-06-29 10:02:03.000,2022-06-29 10:02:03.000,
46,1,2,2022-06-29,,"10:06:14",,,,"1",,2022-06-29 10:06:14.000,2022-06-29 10:06:14.000,
47,1,1,2022-07-01,,"08:13:53","19:39:38",,,"1",,2022-07-01 08:13:53.000,2022-07-01 19:39:38.000,
48,1,3,2022-07-01,,"09:39:19",,,,"1",,2022-07-01 09:39:19.000,2022-07-01 09:39:19.000,
49,1,1,2022-07-02,,"07:27:54","18:43:20",,,"1",,2022-07-02 07:27:54.000,2022-07-02 18:43:20.000,
50,1,1,2022-07-04,,"07:39:04","19:51:15",,,"1",,2022-07-04 07:39:04.000,2022-07-04 19:51:15.000,
51,1,3,2022-07-05,,"09:42:12",,,,"1",,2022-07-05 09:42:12.000,2022-07-05 09:42:12.000,
52,1,1,2022-07-05,,"13:15:26","18:06:08",,,"1",,2022-07-05 13:15:26.000,2022-07-05 18:06:08.000,
53,1,1,2022-07-06,,"12:32:07","20:07:00",,,"1",,2022-07-06 12:32:07.000,2022-07-06 20:07:00.000,
54,1,1,2022-07-07,,"08:17:00","19:02:32",,,"1",,2022-07-07 08:17:00.000,2022-07-07 19:02:32.000,
55,1,3,2022-07-07,,"09:47:00",,,,"1",,2022-07-07 09:47:00.000,2022-07-07 09:47:00.000,
56,1,1,2022-07-08,,"09:44:10","19:03:22",,,"1",,2022-07-08 09:44:10.000,2022-07-08 19:03:22.000,
57,1,3,2022-07-08,,"09:44:31",,,,"1",,2022-07-08 09:44:31.000,2022-07-08 09:44:31.000,
58,1,1,2022-07-09,,"09:38:05","18:42:41",,,"1",,2022-07-09 09:38:05.000,2022-07-09 18:42:41.000,
59,1,1,2022-07-11,,"10:00:52","19:41:26",,,"1",,2022-07-11 11:31:52.000,2022-07-12 15:17:01.000,
60,1,3,2022-07-12,,"09:55:25",,,,"1",,2022-07-12 09:55:25.000,2022-07-12 09:55:25.000,
61,1,1,2022-07-12,,"12:44:51","19:19:31",,,"1",,2022-07-12 12:44:51.000,2022-07-12 19:19:31.000,
62,1,1,2022-07-13,,"10:21:03","19:04:08",,,"1",,2022-07-13 10:21:03.000,2022-07-13 19:04:08.000,
63,1,1,2022-07-14,,"10:07:44","19:33:31",,,"1",,2022-07-14 10:07:44.000,2022-07-14 19:33:31.000,
64,1,3,2022-07-14,,"10:07:49","18:04:31",,,"1",,2022-07-14 10:07:49.000,2022-07-14 18:04:31.000,
65,1,1,2022-07-15,,"10:13:14","18:57:02",,,"1",,2022-07-15 10:13:14.000,2022-07-15 18:57:02.000,
